i,x,y,department,seniority,role,data_issue,issue_category
EMP_0001,4795,30,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0002,1175,19,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0003,1251,24,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0004,1614,32,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0005,850,7,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0006,607,4,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0007,1098,106,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0008,1225,22,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0009,214,27,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0010,1573,52,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0011,1228,361,Analytics,Mid,Data_Engineer,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0012,1366,33,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0013,790,35,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0014,714,47,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0015,1715,13,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0016,1124,10,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0017,858,73,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0018,664,5,IT,Junior,Infrastructure,CLEAN: No issues,Clean
EMP_0019,523,24,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0020,198,19,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0021,489,31,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0022,1147,16,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0023,4751,0,IT,Senior,DevOps,"EXTREME: Zero commits, long tenure (real: moved to management)",Extreme Value
EMP_0024,4869,5,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0025,41,24,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0026,2320,2,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0027,3985,4,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0028,73,57,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0029,791,46,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0030,2398,386,IT,Senior,Infrastructure,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0031,700,26,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0032,488,4,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0033,122,12000,IT,Junior,Developer,ERROR: Impossibly high (decimal/aggregation error),Data Error
EMP_0034,1123,5,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0035,5321,0,Analytics,Senior,Data_Engineer,CLEAN: No issues,Clean
EMP_0036,1238,7,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0037,633,103,IT,Junior,Infrastructure,"EXTREME: High for infrastructure (real: IaC enthusiast, everything in Git)",Extreme Value
EMP_0038,1243,56,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0039,1249,126,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0040,1329,21,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0041,2951,6,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0042,2505,50,Analytics,Senior,Data_Scientist,CLEAN: No issues,Clean
EMP_0043,461,8,IT,Junior,Infrastructure,CLEAN: No issues,Clean
EMP_0044,141,43,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0045,933,0,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0046,700,36,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0047,1360,26,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0048,587,17,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0049,4497,7,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0050,1422,28,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0051,1177,6,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0052,760,46,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0053,383,15,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0054,1603,18,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0055,578,17,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0056,848,27,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0057,788,32,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0058,656,18,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0059,424,7,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0060,1550,22,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0061,3066,57,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0062,320,19,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0063,2698,248,Analytics,Senior,Data_Scientist,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0064,1558,25,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0065,2837,8,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0066,988,58,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0067,255,13,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0068,836,44,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0069,1384,56,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0070,1306,61,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0071,233,18,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0072,2387,30,Analytics,Senior,Data_Scientist,CLEAN: No issues,Clean
EMP_0073,618,21,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0074,1521,24,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0075,706,6,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0076,281,24,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0077,100,21,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0078,1756,6800,Analytics,Mid,Data_Engineer,ERROR: Impossibly high (decimal/aggregation error),Data Error
EMP_0079,502,7,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0080,1452,66,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0081,432,7,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0082,1789,29,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0083,3498,35,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0084,165,9,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0085,1821,39,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0086,288,7,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0087,953,0,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0088,888,0,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0089,666,3,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0090,1789,51,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0091,929,48,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0092,1212,10,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0093,694,9,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0094,5308,16,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0095,5134,32,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0096,1025,284,IT,Mid,Developer,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0097,1203,28,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0098,2447,34,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0099,2330,36,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0100,505,3,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0101,4406,41,Analytics,Senior,Data_Engineer,CLEAN: No issues,Clean
EMP_0102,4369,0,IT,Senior,Infrastructure,"EXTREME: Zero commits, long tenure (real: moved to management)",Extreme Value
EMP_0103,560,308,IT,Junior,DevOps,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0104,204,66,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0105,622,9,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0106,3793,6,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0107,1649,22,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0108,1625,35,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0109,495,6,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0110,1111,11,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0111,1722,24,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0112,247,0,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0113,114,0,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0114,3471,35,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0115,42,386,IT,Junior,Infrastructure,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0116,1598,45,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0117,1514,5,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0118,241,14,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0119,3886,283,IT,Senior,DevOps,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0120,1944,8,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0121,218,9,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0122,367,283,Analytics,Junior,Data_Scientist,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0123,493,3,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0124,674,19,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0125,542,4,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0126,2163,4,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0127,320,16,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0128,681,17,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0129,1742,21,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0130,970,8,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0131,1804,28,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0132,754,5,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0133,1275,20,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0134,1393,14,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0135,313,8,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0136,4132,29,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0137,1831,42,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0138,1465,7,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0139,1081,20,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0140,5,242,IT,Junior,Infrastructure,EXTREME: High commits for junior (real: internal transfer from other division),Extreme Value
EMP_0141,454,0,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0142,209,35,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0143,1773,30,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0144,979,73,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0145,4070,71,Analytics,Senior,Data_Engineer,CLEAN: No issues,Clean
EMP_0146,1351,32,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0147,261,12,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0148,443,1,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0149,1584,18,IT,Mid,Developer,CLEAN: No issues,Clean
